pl_name,hostname,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,sy_dist,sy_disterr1,sy_disterr2
HATS-26 b,HATS-26,Transit,2016,0,3.3023881,0.0000076,-0.0000076,0,19.61575,2.35389,-2.35389,0,861.843,25.218,-23.847
HATS-27 b,HATS-27,Transit,2016,0,4.637038,0.000014,-0.000014,0,16.8135,2.2418,-1.23299,0,816.988,41.072,-37.381
HATS-28 b,HATS-28,Transit,2016,0,3.1810781,0.0000039,-0.0000039,0,13.383546,0.78463,-0.78463,0,535.383,7.926,-7.703
HATS-29 b,HATS-29,Transit,2016,0,4.6058749,0.0000063,-0.0000063,0,14.022459,0.683749,-0.683749,0,353.891,4.986,-4.852
HATS-3 b,HATS-3,Transit,2013,0,3.547851,0.000005,-0.000005,0,15.48,0.392,-0.392,0,411.211,7.896,-7.608
HATS-30 b,HATS-30,Transit,2016,0,3.1743516,0.0000026,-0.0000026,0,13.170575,0.582868,-0.582868,0,342.14,2.936,-2.888
HATS-31 b,HATS-31,Transit,2016,0,3.37796,0.000012,-0.000012,0,18.38276,2.46598,-2.46598,0,773.974,20.317,-19.321
HATS-32 b,HATS-32,Transit,2016,0,2.8126548,0.0000055,-0.0000055,0,14.000041,1.614096,-1.076064,0,745.116,17.503,-16.731
HATS-33 b,HATS-33,Transit,2016,0,2.5495551,0.0000061,-0.0000061,0,13.78707,1.255408,-0.907929,0,248.46,2.164,-2.127
HATS-34 b,HATS-34,Transit,2016,0,2.1061607,0.0000047,-0.0000047,0,16.02887,2.12971,-2.12971,0,508.842,3.896,-3.896
HATS-35 b,HATS-35,Transit,2016,0,1.8209993,0.0000016,-0.0000016,0,16.409976,0.773421,-0.493196,0,514.555,10.199,-9.817
HATS-36 b,HATS-36,Transit,2018,0,4.175186,0.000033,-0.000033,0,12.92,0.38,-0.38,0,856.436,21.874,-20.829
HATS-37 A b,HATS-37 A,Transit,2020,0,4.3315366,0.0000041,-0.0000041,0,6.792654,0.179344,-0.179344,0,211.896,2.803,-2.733
HATS-38 b,HATS-38,Transit,2020,0,4.375021,0.00001,-0.00001,0,6.882326,0.190553,-0.190553,0,343.525,5.122,-4.976
HATS-39 b,HATS-39,Transit,2018,0,4.5776348,0.0000073,-0.0000073,0,17.59813,1.34508,-1.34508,0,878.521,79.923,-67.787
HATS-4 b,HATS-4,Transit,2014,0,2.516729,0.000002,-0.000002,0,11.433,0.415,-0.415,0,416.459,2.726,-2.691
HATS-40 b,HATS-40,Transit,2018,0,3.2642736,0.0000058,-0.0000058,0,17.71022,1.79344,-1.34508,0,1342.29,31.8,-30.39
HATS-41 b,HATS-41,Transit,2018,0,4.193649,0.000013,-0.000013,0,14.90797,3.25061,-2.2418,0,737.668,14.203,-13.685
